id,language,sentence,tokenized_sentence,expression,category,indices
synth_idiomatic_basamak yapmak_0,tr,basamak yapmak yüzünden tartışma çıktı.,"['basamak', 'yapmak', 'yüzünden', 'tartışma', 'çıktı.']",basamak yapmak,idiomatic,"[0, 1]"
synth_idiomatic_basamak yapmak_1,tr,Onlar hep basamak yapmak gibi davranıyor.,"['Onlar', 'hep', 'basamak', 'yapmak', 'gibi', 'davranıyor.']",basamak yapmak,idiomatic,"[2, 3]"
synth_literal_basamak yapmak_0,tr,Öğretmen basamak yapmak örneğini tahtaya yazdı.,"['Öğretmen', 'basamak', 'yapmak', 'örneğini', 'tahtaya', 'yazdı.']",basamak yapmak,literal,"[1, 2]"
synth_literal_basamak yapmak_1,tr,basamak yapmak kelimesini sözlükte aradı.,"['basamak', 'yapmak', 'kelimesini', 'sözlükte', 'aradı.']",basamak yapmak,literal,"[0, 1]"
synth_idiomatic_hesap vermek_0,tr,Onlar hep hesap vermek gibi davranıyor.,"['Onlar', 'hep', 'hesap', 'vermek', 'gibi', 'davranıyor.']",hesap vermek,idiomatic,"[2, 3]"
synth_idiomatic_hesap vermek_1,tr,hesap vermek yüzünden tartışma çıktı.,"['hesap', 'vermek', 'yüzünden', 'tartışma', 'çıktı.']",hesap vermek,idiomatic,"[0, 1]"
synth_literal_hesap vermek_0,tr,hesap vermek kelimesini sözlükte aradı.,"['hesap', 'vermek', 'kelimesini', 'sözlükte', 'aradı.']",hesap vermek,literal,"[0, 1]"
synth_literal_hesap vermek_1,tr,Öğretmen hesap vermek örneğini tahtaya yazdı.,"['Öğretmen', 'hesap', 'vermek', 'örneğini', 'tahtaya', 'yazdı.']",hesap vermek,literal,"[1, 2]"
synth_idiomatic_zaman öldürmek_0,tr,zaman öldürmek yüzünden tartışma çıktı.,"['zaman', 'öldürmek', 'yüzünden', 'tartışma', 'çıktı.']",zaman öldürmek,idiomatic,"[0, 1]"
synth_idiomatic_zaman öldürmek_1,tr,O da sonunda zaman öldürmek zorunda kaldı.,"['O', 'da', 'sonunda', 'zaman', 'öldürmek', 'zorunda', 'kaldı.']",zaman öldürmek,idiomatic,"[3, 4]"
synth_literal_zaman öldürmek_0,tr,Öğretmen zaman öldürmek örneğini tahtaya yazdı.,"['Öğretmen', 'zaman', 'öldürmek', 'örneğini', 'tahtaya', 'yazdı.']",zaman öldürmek,literal,"[1, 2]"
synth_literal_zaman öldürmek_1,tr,Sınavda zaman öldürmek deyimini açıklaması istendi.,"['Sınavda', 'zaman', 'öldürmek', 'deyimini', 'açıklaması', 'istendi.']",zaman öldürmek,literal,"[1, 2]"
synth_idiomatic_defterden silmek_0,tr,O da sonunda defterden silmek zorunda kaldı.,"['O', 'da', 'sonunda', 'defterden', 'silmek', 'zorunda', 'kaldı.']",defterden silmek,idiomatic,"[3, 4]"
synth_idiomatic_defterden silmek_1,tr,Onlar hep defterden silmek gibi davranıyor.,"['Onlar', 'hep', 'defterden', 'silmek', 'gibi', 'davranıyor.']",defterden silmek,idiomatic,"[2, 3]"
synth_literal_defterden silmek_0,tr,Öğretmen defterden silmek örneğini tahtaya yazdı.,"['Öğretmen', 'defterden', 'silmek', 'örneğini', 'tahtaya', 'yazdı.']",defterden silmek,literal,"[1, 2]"
synth_literal_defterden silmek_1,tr,Sınavda defterden silmek deyimini açıklaması istendi.,"['Sınavda', 'defterden', 'silmek', 'deyimini', 'açıklaması', 'istendi.']",defterden silmek,literal,"[1, 2]"
synth_idiomatic_ortaya koymak_0,tr,Onlar hep ortaya koymak gibi davranıyor.,"['Onlar', 'hep', 'ortaya', 'koymak', 'gibi', 'davranıyor.']",ortaya koymak,idiomatic,"[2, 3]"
synth_idiomatic_ortaya koymak_1,tr,ortaya koymak yüzünden tartışma çıktı.,"['ortaya', 'koymak', 'yüzünden', 'tartışma', 'çıktı.']",ortaya koymak,idiomatic,"[0, 1]"
synth_literal_ortaya koymak_0,tr,Cümlede geçen ortaya koymak kısmını vurguladı.,"['Cümlede', 'geçen', 'ortaya', 'koymak', 'kısmını', 'vurguladı.']",ortaya koymak,literal,"[2, 3]"
synth_literal_ortaya koymak_1,tr,Öğretmen ortaya koymak örneğini tahtaya yazdı.,"['Öğretmen', 'ortaya', 'koymak', 'örneğini', 'tahtaya', 'yazdı.']",ortaya koymak,literal,"[1, 2]"
synth_idiomatic_karşı çıkmak_0,tr,Bazıları karşı çıkmak gerektiğini düşünüyor.,"['Bazıları', 'karşı', 'çıkmak', 'gerektiğini', 'düşünüyor.']",karşı çıkmak,idiomatic,"[1, 2]"
synth_idiomatic_karşı çıkmak_1,tr,karşı çıkmak yüzünden tartışma çıktı.,"['karşı', 'çıkmak', 'yüzünden', 'tartışma', 'çıktı.']",karşı çıkmak,idiomatic,"[0, 1]"
synth_literal_karşı çıkmak_0,tr,Öğretmen karşı çıkmak örneğini tahtaya yazdı.,"['Öğretmen', 'karşı', 'çıkmak', 'örneğini', 'tahtaya', 'yazdı.']",karşı çıkmak,literal,"[1, 2]"
synth_literal_karşı çıkmak_1,tr,Cümlede geçen karşı çıkmak kısmını vurguladı.,"['Cümlede', 'geçen', 'karşı', 'çıkmak', 'kısmını', 'vurguladı.']",karşı çıkmak,literal,"[2, 3]"
synth_idiomatic_üstünden atmak_0,tr,üstünden atmak yüzünden tartışma çıktı.,"['üstünden', 'atmak', 'yüzünden', 'tartışma', 'çıktı.']",üstünden atmak,idiomatic,"[0, 1]"
synth_idiomatic_üstünden atmak_1,tr,Onlar hep üstünden atmak gibi davranıyor.,"['Onlar', 'hep', 'üstünden', 'atmak', 'gibi', 'davranıyor.']",üstünden atmak,idiomatic,"[2, 3]"
synth_literal_üstünden atmak_0,tr,Sınavda üstünden atmak deyimini açıklaması istendi.,"['Sınavda', 'üstünden', 'atmak', 'deyimini', 'açıklaması', 'istendi.']",üstünden atmak,literal,"[1, 2]"
synth_literal_üstünden atmak_1,tr,üstünden atmak kelimesini sözlükte aradı.,"['üstünden', 'atmak', 'kelimesini', 'sözlükte', 'aradı.']",üstünden atmak,literal,"[0, 1]"
synth_idiomatic_iz bırakmak_0,tr,Bazıları iz bırakmak gerektiğini düşünüyor.,"['Bazıları', 'iz', 'bırakmak', 'gerektiğini', 'düşünüyor.']",iz bırakmak,idiomatic,"[1, 2]"
synth_idiomatic_iz bırakmak_1,tr,iz bırakmak yüzünden tartışma çıktı.,"['iz', 'bırakmak', 'yüzünden', 'tartışma', 'çıktı.']",iz bırakmak,idiomatic,"[0, 1]"
synth_literal_iz bırakmak_0,tr,iz bırakmak kelimesini sözlükte aradı.,"['iz', 'bırakmak', 'kelimesini', 'sözlükte', 'aradı.']",iz bırakmak,literal,"[0, 1]"
synth_literal_iz bırakmak_1,tr,Öğretmen iz bırakmak örneğini tahtaya yazdı.,"['Öğretmen', 'iz', 'bırakmak', 'örneğini', 'tahtaya', 'yazdı.']",iz bırakmak,literal,"[1, 2]"
synth_idiomatic_el açmak_0,tr,O da sonunda el açmak zorunda kaldı.,"['O', 'da', 'sonunda', 'el', 'açmak', 'zorunda', 'kaldı.']",el açmak,idiomatic,"[3, 4]"
synth_idiomatic_el açmak_1,tr,Bazıları el açmak gerektiğini düşünüyor.,"['Bazıları', 'el', 'açmak', 'gerektiğini', 'düşünüyor.']",el açmak,idiomatic,"[1, 2]"
synth_literal_el açmak_0,tr,Cümlede geçen el açmak kısmını vurguladı.,"['Cümlede', 'geçen', 'el', 'açmak', 'kısmını', 'vurguladı.']",el açmak,literal,"[2, 3]"
synth_literal_el açmak_1,tr,Sınavda el açmak deyimini açıklaması istendi.,"['Sınavda', 'el', 'açmak', 'deyimini', 'açıklaması', 'istendi.']",el açmak,literal,"[1, 2]"
synth_idiomatic_ayvayı yemek_0,tr,Onlar hep ayvayı yemek gibi davranıyor.,"['Onlar', 'hep', 'ayvayı', 'yemek', 'gibi', 'davranıyor.']",ayvayı yemek,idiomatic,"[2, 3]"
synth_idiomatic_ayvayı yemek_1,tr,O da sonunda ayvayı yemek zorunda kaldı.,"['O', 'da', 'sonunda', 'ayvayı', 'yemek', 'zorunda', 'kaldı.']",ayvayı yemek,idiomatic,"[3, 4]"
synth_literal_ayvayı yemek_0,tr,ayvayı yemek kelimesini sözlükte aradı.,"['ayvayı', 'yemek', 'kelimesini', 'sözlükte', 'aradı.']",ayvayı yemek,literal,"[0, 1]"
synth_literal_ayvayı yemek_1,tr,Sınavda ayvayı yemek deyimini açıklaması istendi.,"['Sınavda', 'ayvayı', 'yemek', 'deyimini', 'açıklaması', 'istendi.']",ayvayı yemek,literal,"[1, 2]"
synth_idiomatic_rol oynamak_0,tr,O da sonunda rol oynamak zorunda kaldı.,"['O', 'da', 'sonunda', 'rol', 'oynamak', 'zorunda', 'kaldı.']",rol oynamak,idiomatic,"[3, 4]"
synth_idiomatic_rol oynamak_1,tr,rol oynamak yüzünden tartışma çıktı.,"['rol', 'oynamak', 'yüzünden', 'tartışma', 'çıktı.']",rol oynamak,idiomatic,"[0, 1]"
synth_literal_rol oynamak_0,tr,Öğretmen rol oynamak örneğini tahtaya yazdı.,"['Öğretmen', 'rol', 'oynamak', 'örneğini', 'tahtaya', 'yazdı.']",rol oynamak,literal,"[1, 2]"
synth_literal_rol oynamak_1,tr,rol oynamak kelimesini sözlükte aradı.,"['rol', 'oynamak', 'kelimesini', 'sözlükte', 'aradı.']",rol oynamak,literal,"[0, 1]"
synth_idiomatic_parmak basmak_0,tr,Bazıları parmak basmak gerektiğini düşünüyor.,"['Bazıları', 'parmak', 'basmak', 'gerektiğini', 'düşünüyor.']",parmak basmak,idiomatic,"[1, 2]"
synth_idiomatic_parmak basmak_1,tr,parmak basmak yüzünden tartışma çıktı.,"['parmak', 'basmak', 'yüzünden', 'tartışma', 'çıktı.']",parmak basmak,idiomatic,"[0, 1]"
synth_literal_parmak basmak_0,tr,Cümlede geçen parmak basmak kısmını vurguladı.,"['Cümlede', 'geçen', 'parmak', 'basmak', 'kısmını', 'vurguladı.']",parmak basmak,literal,"[2, 3]"
synth_literal_parmak basmak_1,tr,Sınavda parmak basmak deyimini açıklaması istendi.,"['Sınavda', 'parmak', 'basmak', 'deyimini', 'açıklaması', 'istendi.']",parmak basmak,literal,"[1, 2]"
synth_idiomatic_içi erimek_0,tr,Bazıları içi erimek gerektiğini düşünüyor.,"['Bazıları', 'içi', 'erimek', 'gerektiğini', 'düşünüyor.']",içi erimek,idiomatic,"[1, 2]"
